

[2018-06-06 15:04:52.298] 1|-1.001;-0.023;0.194|0.6;0.7;3.7|0.0;0.0;0.0|0
[2018-06-06 15:04:52.314] 2|-0.953;-0.031;0.199|1.4;-10.2;3.8|0.0;0.0;0.0|0
[2018-06-06 15:04:52.314] 3|-1.024;-0.030;0.171|10.3;-20.0;5.9|0.0;0.0;0.0|0
[2018-06-06 15:04:52.329] 4|-1.000;-0.026;0.159|29.0;-16.4;8.4|0.0;0.0;0.0|0
[2018-06-06 15:04:52.329] 5|-1.021;-0.027;0.130|29.5;-31.5;8.3|0.0;0.0;0.0|0
[2018-06-06 15:04:52.345] 6|-1.016;-0.046;-0.006|33.7;-16.4;9.1|0.0;0.0;0.0|0
[2018-06-06 15:04:52.360] 7|-0.993;-0.053;0.133|22.4;13.3;7.3|0.0;0.0;0.0|0
[2018-06-06 15:04:52.360] 8|-1.005;-0.039;0.131|9.5;12.7;4.3|0.0;0.0;0.0|0
[2018-06-06 15:04:52.376] 9|-1.019;-0.041;0.119|1.3;-1.8;3.8|0.0;0.0;0.0|0
[2018-06-06 15:04:52.392] 10|-0.980;-0.038;0.127|1.5;2.7;3.8|0.0;0.0;0.0|0
[2018-06-06 15:04:52.392] 11|-1.005;-0.038;0.123|2.1;7.6;2.7|0.0;-0.0;0.0|0
[2018-06-06 15:04:52.407] 12|-0.993;-0.046;0.143|1.4;9.7;2.5|-0.0;0.1;-0.0|0
[2018-06-06 15:04:52.423] 13|-1.014;-0.039;0.126|8.0;17.0;3.1|-160.0;82.9;17.3|0
[2018-06-06 15:04:52.439] 14|-0.998;-0.024;0.125|12.1;24.4;3.7|-159.5;82.4;17.7|0
[2018-06-06 15:04:52.439] 15|-1.007;-0.033;0.135|5.4;24.9;2.2|-159.3;82.6;17.9|0
[2018-06-06 15:04:52.454] 16|-0.996;-0.034;0.153|1.1;20.7;0.6|-161.8;82.8;16.1|0
[2018-06-06 15:04:52.470] 17|-0.928;-0.032;0.170|-1.9;15.9;0.1|-161.8;83.0;16.1|0
[2018-06-06 15:04:52.470] 18|-0.992;-0.011;0.174|-6.9;4.5;-0.6|-162.8;82.7;15.5|0
[2018-06-06 15:04:52.485] 19|-1.024;-0.044;0.191|-9.9;2.8;1.5|-162.7;82.8;15.7|0
[2018-06-06 15:04:52.501] 20|-1.028;-0.023;0.202|-10.0;-6.6;1.7|-164.3;82.7;14.8|0
[2018-06-06 15:04:52.501] 21|-0.979;-0.033;0.121|-7.1;-21.1;3.6|-164.8;82.5;14.4|0
[2018-06-06 15:04:52.517] 22|-1.031;-0.042;0.140|0.7;-11.4;3.8|-164.9;82.6;14.3|0
[2018-06-06 15:04:52.532] 23|-1.012;-0.046;0.141|0.7;-8.8;2.8|-165.5;82.4;13.8|0
[2018-06-06 15:04:52.532] 24|-0.998;-0.033;0.131|-0.1;-8.4;2.7|-165.9;82.3;13.4|0
[2018-06-06 15:04:52.548] 25|-1.019;-0.047;0.091|-3.9;-6.3;2.4|-166.0;82.2;13.2|0
[2018-06-06 15:04:52.564] 26|-0.996;-0.046;0.162|-10.1;4.9;3.1|-166.2;82.3;13.2|0
[2018-06-06 15:04:52.564] 27|-0.996;-0.029;0.141|0.3;1.6;2.7|-166.0;82.2;13.1|0
[2018-06-06 15:04:52.579] 28|-1.015;-0.031;0.153|0.5;4.0;3.2|-166.1;82.2;13.3|0
[2018-06-06 15:04:52.595] 29|-1.003;-0.035;0.144|0.6;5.7;3.5|-166.6;82.2;12.9|0
[2018-06-06 15:04:52.595] 30|-1.003;-0.042;0.165|0.7;6.1;3.3|-166.9;82.2;12.7|0
[2018-06-06 15:04:52.610] 31|-1.028;-0.028;0.138|0.6;-12.2;2.3|-167.3;82.1;12.4|0
[2018-06-06 15:04:52.626] 32|-1.006;-0.029;0.197|0.7;-16.0;2.9|-167.6;82.0;12.2|0
[2018-06-06 15:04:52.626] 33|-1.006;-0.021;0.226|2.2;-31.0;4.1|-168.3;81.8;11.5|0
[2018-06-06 15:04:52.642] 34|-0.754;-0.033;0.080|11.6;-39.6;11.0|-169.9;81.4;10.3|0
[2018-06-06 15:04:52.657] 35|-1.180;0.030;-0.021|7.5;-32.4;15.0|-171.1;81.1;9.4|0
