
[2018-06-06 16:30:38.042] 1|-0.995;-0.070;0.045|5.5;-8.8;12.3|0.0;0.0;0.0|0
[2018-06-06 16:30:38.152] 2|-1.027;-0.110;0.075|4.6;5.1;-5.9|0.0;0.0;0.0|2
[2018-06-06 16:30:38.245] 3|-1.012;-0.087;0.103|1.4;17.6;1.5|0.0;0.0;0.0|2
[2018-06-06 16:30:38.339] 4|-1.016;-0.087;0.110|0.4;-4.2;3.8|0.0;0.0;0.0|2
[2018-06-06 16:30:38.448] 5|-0.987;-0.084;0.100|-0.0;0.2;2.9|0.0;0.0;0.0|2
[2018-06-06 16:30:38.542] 6|-1.015;-0.083;0.101|0.6;-1.9;2.9|0.0;0.0;0.0|2
[2018-06-06 16:30:38.640] 7|-1.019;-0.083;0.100|0.7;1.6;2.5|0.0;0.0;0.0|2
[2018-06-06 16:30:38.750] 8|-1.001;-0.083;0.106|0.6;-0.5;3.1|0.0;0.0;0.0|2
[2018-06-06 16:30:38.843] 9|-1.011;-0.083;0.101|0.7;-0.3;2.9|0.0;0.0;0.0|2
[2018-06-06 16:30:38.953] 10|-1.009;-0.083;0.101|0.5;-0.4;3.0|0.0;0.0;0.0|2
[2018-06-06 16:30:39.047] 11|-1.009;-0.083;0.101|0.5;-0.2;3.0|0.0;-0.0;0.0|2
[2018-06-06 16:30:39.156] 12|-1.009;-0.083;0.101|0.3;-0.4;3.1|-0.0;-0.0;-0.0|3
[2018-06-06 16:30:39.250] 13|-1.010;-0.083;0.100|0.7;-0.3;2.9|-135.3;82.6;39.2|2
[2018-06-06 16:30:39.359] 14|-1.009;-0.083;0.100|0.6;-0.4;3.0|-135.5;82.7;39.1|3
[2018-06-06 16:30:39.453] 15|-1.010;-0.083;0.102|0.6;-0.2;3.0|-135.5;82.7;39.0|2
[2018-06-06 16:30:39.547] 16|-1.009;-0.084;0.100|0.5;-0.3;3.0|-135.6;82.7;38.9|3
[2018-06-06 16:30:39.656] 17|-1.009;-0.082;0.101|0.6;-0.2;2.8|-135.8;82.7;38.7|2
[2018-06-06 16:30:39.750] 18|-1.009;-0.085;0.101|0.6;-0.3;2.9|-135.8;82.7;38.7|3
[2018-06-06 16:30:39.859] 19|-1.010;-0.083;0.101|0.5;-0.3;2.9|-135.9;82.7;38.6|2
[2018-06-06 16:30:39.953] 20|-1.009;-0.084;0.101|0.6;-0.3;3.1|-135.8;82.7;38.7|3
[2018-06-06 16:30:40.062] 21|-1.010;-0.081;0.100|0.5;-0.3;3.1|-135.9;82.7;38.7|2
[2018-06-06 16:30:40.156] 22|-1.009;-0.083;0.101|0.6;-0.2;3.2|-135.7;82.7;38.8|3
[2018-06-06 16:30:40.250] 23|-1.009;-0.084;0.100|0.5;-0.2;3.0|-135.8;82.7;38.7|3
[2018-06-06 16:30:40.359] 24|-1.009;-0.082;0.101|0.5;-0.2;3.2|-135.8;82.7;38.7|3
[2018-06-06 16:30:40.463] 25|-1.010;-0.083;0.100|0.5;-0.3;2.9|-135.6;82.7;38.9|3
[2018-06-06 16:30:40.557] 26|-1.009;-0.083;0.101|0.6;-0.3;3.1|-135.6;82.7;38.9|3
[2018-06-06 16:30:40.666] 27|-1.009;-0.083;0.101|0.5;-0.3;3.0|-135.5;82.7;38.9|3
[2018-06-06 16:30:40.760] 28|-1.009;-0.083;0.100|0.7;-0.2;3.0|-135.5;82.7;39.0|3
[2018-06-06 16:30:40.854] 29|-1.009;-0.083;0.101|0.6;-0.3;3.0|-135.5;82.7;39.0|3
[2018-06-06 16:30:40.963] 30|-1.009;-0.082;0.101|0.7;-0.2;3.1|-135.4;82.7;39.1|3
[2018-06-06 16:30:41.057] 31|-1.009;-0.083;0.101|0.6;-0.2;3.1|-135.4;82.7;39.1|3
[2018-06-06 16:30:41.166] 32|-1.010;-0.082;0.100|0.6;-0.4;3.2|-135.4;82.7;39.1|3
[2018-06-06 16:30:41.260] 33|-1.009;-0.083;0.100|0.6;-0.2;3.0|-135.4;82.7;39.1|3
[2018-06-06 16:30:41.369] 34|-1.010;-0.083;0.101|0.5;-0.3;3.0|-135.4;82.7;39.1|2
